Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,0.34273,98,-9,-95,10.3,16.6,4.4,134,322,349,365,-59,-77,-21
2,0.76235,159,39,3,27,25.3,17.5,144,314,349,347,-7,-21,-10
3,1.6524,43,34,35,-8.9,-28.1,-7.2,151,290,330,320,-24,-46,-7
4,2.1816,19,29,47,-18.5,-29.6,-15.6,147,260,306,328,-20,-38,-13
5,2.1629,78,38,49,-9.5,-14.9,-6.1,144,279,323,341,-4,-10,-2
6,1.9103,164,74,107,-8,-7.3,-2,144,312,341,354,4,-2,-20
7,1.7542,158,98,141,-14,-8.6,-14.8,151,260,275,288,6,-4,-36
8,0.59031,44,-34,-54,-29.3,-29.6,14.6,128,252,268,281,-67,-71,-39
9,0.64893,81,-23,-112,14.7,13,13.9,134,322,349,365,-52,-80,-27
10,1.5476,159,46,1,37.4,27.4,27.3,144,314,349,347,-28,-41,-16
11,3.0518,65,9,31,2.6,-18.6,-0.3,151,290,330,320,-8,-37,-21
12,2.8102,14,15,48,-14.3,-27.2,-13,147,260,306,328,-13,-28,-31
13,2.4715,48,27,57,-11.4,-17.8,-7,144,279,323,341,9,5,-16
14,2.8808,160,72,103,-7.3,-5.5,-6.7,144,312,341,354,13,1,-21
15,2.5078,176,110,152,-8.4,-0.6,-15.3,151,260,275,288,-42,-70,-16
16,1.1196,129,84,72,-11.4,-5.8,38.8,124,173,195,212,-74,-100,-3
17,1.303,43,-42,-75,-40.5,-41.4,-0.3,128,271,295,301,-34,-55,-33
18,1.6662,39,-21,-110,2.5,-0.7,7.5,135,347,369,386,-27,-51,-45
19,3.6166,123,59,-6,24.9,18.1,20.4,146,336,360,383,-26,-30,-29
20,4.7932,88,-13,28,3.5,-12.2,-0.6,153,307,349,362,7,-26,-28
21,3.388,44,8,69,-8.2,-19.6,-5.3,147,286,320,345,16,-5,-42
22,2.186,45,43,94,-6.3,-12.1,1.6,147,274,309,316,18,-4,-31
23,1.9673,163,89,99,2.8,1,-1.8,153,283,318,323,-4,-14,-25
24,1.652,201,124,146,5.1,10.3,-6.2,150,239,255,272,-64,-79,-3
25,1.378,106,203,155,-19.2,-9.3,-10.9,124,173,195,212,-80,-97,-6
26,2.3427,51,63,-22,-42.8,-40.9,-33.7,128,271,295,301,-59,-87,-20
27,3.4517,11,57,25,-21.4,-24.2,-18.2,135,347,369,386,-28,-39,-20
28,5.5122,17,93,54,-2.2,-4.6,-1.6,146,336,360,383,-26,-34,-8
29,5.0327,94,28,-54,14.6,6.7,11.1,153,307,349,362,-6,-33,-20
30,2.9135,132,-6,34,15.6,1.2,13.6,147,286,320,345,21,-8,-35
31,1.5229,128,15,132,11.7,-3.7,11.6,147,274,309,316,-1,-24,-24
32,0.98864,118,118,102,23.3,9.2,11.2,153,283,318,323,-19,-30,-17
33,1.3113,60,203,224,-13.8,-1.2,-11.7,120,182,210,221,-88,-87,-19
34,2.4717,27,89,20,-29.4,-24.1,-30.2,127,288,302,325,-65,-92,-26
35,3.0621,50,98,91,-21.9,-27.3,-25.2,142,363,396,412,-51,-54,-4
36,3.1601,-13,96,101,-8.1,-15.2,-11.3,146,351,391,409,-27,-32,-18
37,2.765,26,54,-81,21.7,11.7,20.9,153,298,337,354,-23,-52,-15
38,2.1085,113,33,-39,21.5,7.6,19.8,158,295,323,335,-15,-39,-21
39,1.3772,148,18,76,7.8,-5.3,4.6,155,272,288,281,-15,-45,-10
40,0.89397,85,72,103,11.2,0.3,5.5,157,260,279,299,-27,-55,-9
41,0.84126,6,154,257,-8.4,4.4,-4.7,120,182,210,221,-81,-88,-17
42,1.375,-29,59,35,-13.4,-5.7,-19.2,127,288,302,325,-61,-81,-18
43,1.3121,98,104,87,-19.2,-25.4,-27.7,142,363,396,412,-68,-66,-25
44,1.1217,29,78,124,-17.9,-27.1,-23.4,146,351,391,409,-28,-33,-32
45,1.3016,-52,49,-46,17,8.3,22,153,298,337,354,-26,-56,-23
46,1.6668,49,67,-58,17.7,9.8,22.5,158,295,323,335,-18,-37,-20
47,0.47626,27,-26,-151,-23.6,-7.8,-21.6,134,369,392,410,-93,-120,-13
48,1.1299,36,-3,-65,-17.6,-5.2,-12.8,125,338,377,376,-59,-74,-41
49,2.5934,-43,30,48,-22.6,-27.2,-8.2,120,307,360,356,-18,-41,-24
50,3.229,14,46,94,-10.3,-11,3.7,130,322,350,370,-46,-61,-32
51,3.0632,96,59,139,5.9,8.9,18.9,138,322,362,380,-54,-78,-25
52,2,139,76,108,1.2,-6.2,20.9,137,308,343,367,-6,-36,-31
53,1.3895,131,66,102,-9.4,-16.9,2.2,137,343,383,390,-21,-49,-27
54,1.2948,95,69,376,16.1,22.6,70.1,132,183,202,207,-91,-93,-12
55,1.0081,37,11,-16,-19,-19.3,11.4,124,242,283,282,-82,-96,-36
56,1.5556,98,-9,-95,10.3,16.6,4.4,129,385,424,431,-100,-116,-33
57,3.5575,159,39,3,27,25.3,17.5,137,342,385,385,-52,-58,-39
58,6.6072,43,34,35,-8.9,-28.1,-7.2,138,334,367,373,-19,-43,-21
59,5.3796,19,29,47,-18.5,-29.6,-15.6,135,325,349,369,-62,-84,-25
60,5.1178,78,38,49,-9.5,-14.9,-6.1,146,341,395,407,-65,-90,-18
61,5.6726,164,74,107,-8,-7.3,-2,143,352,390,399,-15,-42,-27
62,3.9894,158,98,141,-14,-8.6,-14.8,145,367,405,413,-5,-44,-39
63,1.5174,354,469,688,41.6,65.9,112.8,125,129,126,126,59,81,-7
64,2.3054,127,60,85,-0.5,6.8,64.6,132,183,202,207,-102,-120,2
65,2.4892,44,-34,-54,-29.3,-29.6,14.6,124,242,283,282,-93,-113,-18
66,3.8432,81,-23,-112,14.7,13,13.9,129,385,424,431,-79,-118,-27
67,9.0711,159,46,1,37.4,27.4,27.3,137,342,385,385,-63,-73,-25
68,12.101,65,9,31,2.6,-18.6,-0.3,138,334,367,373,-34,-67,-19
69,7.5872,14,15,48,-14.3,-27.2,-13,135,325,349,369,-83,-105,-36
70,6.5087,48,27,57,-11.4,-17.8,-7,146,341,395,407,-64,-91,-41
71,8.1456,160,72,103,-7.3,-5.5,-6.7,143,352,390,399,-13,-41,-32
72,5.2976,176,110,152,-8.4,-0.6,-15.3,145,367,405,413,1,-38,-35
73,1.8863,329,447,593,36.9,52.8,84.7,130,133,128,130,64,92,-18
74,3.9265,129,84,72,-11.4,-5.8,38.8,131,183,207,215,-84,-105,-5
75,5.1692,43,-42,-75,-40.5,-41.4,-0.3,126,273,303,308,-79,-109,-15
76,8.8543,39,-21,-110,2.5,-0.7,7.5,131,394,438,433,-39,-80,-45
