Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,0.017085,1207,1028,1089,1120,49.4,29.5,39.9,51.5,83,113,120,124,43,26,23,28
2,0.01403,1149,1166,1125,1148,36.1,59.8,39,51.1,100,120,128,128,35,26,24,26
3,0.0096253,1091,1170,1105,1176,35.7,62.5,39.8,57.7,84,114,124,117,39,32,20,22
4,0.0060745,1048,1072,1137,1126,44.8,35.8,41.9,54.8,86,108,104,107,37,29,29,19
5,0.012785,1037,1086,1125,1090,42.5,39.1,45.2,47.8,86,99,103,97,50,13,23,12
6,0.01356,1031,1109,1100,1078,33.6,50.6,49.4,51.7,83,96,98,98,47,8,12,10
7,0.014105,1102,1006,1070,1079,32.5,51,50.6,70.6,86,91,104,103,9,27,17,17
8,0.0086828,1143,967,1071,1074,42.7,46.1,47.4,58.9,93,102,114,111,4,25,22,23
9,0.0099212,1128,999,1059,1098,48,42.5,49,48.3,99,113,123,121,28,16,21,19
10,0.015875,1009,1159,1065,1164,39.7,47.7,52.9,40.1,100,112,125,115,41,17,26,19
11,0.018226,977,1160,1094,1143,37.6,53.2,53.7,40.9,100,115,124,111,54,19,17,21
12,0.016145,1002,1109,1111,1147,45.1,46.3,58,41.2,99,114,117,120,48,15,17,23
13,0.016788,1021,1139,1108,1219,42.8,56.1,55,37.7,102,113,116,116,32,21,22,27
14,0.011495,1066,1207,1147,1292,33.9,76.4,47.4,35.5,103,105,125,121,30,23,22,32
15,0.029739,1203,990,1055,1097,50.4,26.5,47.5,57.6,83,113,120,124,45,18,26,32
16,0.024697,1153,1111,1111,1091,39.7,59.1,38.3,60.3,100,120,128,128,39,32,32,26
17,0.018873,1117,1148,1093,1136,29.2,64.3,40.9,63,84,114,124,117,45,25,28,24
18,0.014359,1069,1081,1091,1151,41,43.9,43.9,61.6,86,108,104,107,39,20,20,16
19,0.02191,1036,1092,1107,1116,45.3,43.9,39.7,48.4,86,99,103,97,38,21,10,20
20,0.024744,1008,1120,1110,1093,40.2,50,40.8,45.9,83,96,98,98,23,13,14,12
21,0.0098048,1062,1022,1105,1069,28.5,51,51.6,64.8,86,91,104,103,19,16,15,11
22,0.007432,1100,950,1094,1066,37.9,52.1,50.2,57.6,93,102,114,111,26,17,17,25
23,0.01234,1092,964,1055,1081,45.9,53.2,46,44.7,99,113,123,121,41,20,15,22
24,0.018529,1020,1137,1031,1113,42.8,45.1,46.2,45.7,100,112,125,115,45,14,19,26
25,0.017559,1001,1128,1054,1072,37.6,44.6,50.7,53.1,100,115,124,111,36,17,17,26
26,0.017857,1002,1059,1077,1065,45.6,43.4,65.8,51.1,99,114,117,120,40,21,17,27
27,0.018587,994,1090,1069,1136,48.5,51.5,63.7,43.3,102,113,116,116,30,19,19,25
28,0.024302,999,1137,1086,1213,43.3,71.3,51.8,38.2,103,105,125,121,32,27,21,27
29,0.016659,1208,1042,1020,1067,50.4,28.1,57.8,56.3,88,112,121,116,42,18,22,22
30,0.0097549,1141,1050,1080,1051,43.3,44.8,39.4,73.4,100,109,117,119,34,16,17,18
31,0.011163,1118,1082,1082,1065,28.4,51.9,38.1,73.1,90,109,109,119,40,10,22,22
32,0.010513,1074,1055,1064,1097,39.2,47.4,46.4,65.6,96,104,104,111,40,21,24,16
33,0.015926,1033,1075,1059,1103,46.1,46.6,41.8,53.9,93,106,105,105,25,13,11,11
34,0.016053,997,1121,1071,1110,43.6,48.7,38.7,52.1,93,102,96,112,19,13,19,13
35,0.010168,1036,1039,1092,1073,26.3,51.6,50.5,68.1,98,105,109,112,28,15,11,21
36,0.01165,1061,967,1061,1053,34.9,57.9,55.5,62.3,103,110,123,109,38,19,15,23
37,0.012344,1053,981,1033,1049,43.2,66.6,50.1,48.1,104,117,129,120,42,23,19,17
38,0.014889,1010,1125,1017,1066,41.9,50.1,44.1,51,104,114,125,118,46,13,15,17
39,0.014608,1015,1110,1036,1023,35.9,43.3,46.6,62.6,103,105,120,112,36,27,23,19
40,0.011214,1009,1028,1052,1011,44.3,42.2,64.4,54.1,100,112,113,113,46,29,23,23
41,0.0089621,989,1067,1065,1072,50.7,42.7,68.5,46.7,101,119,117,114,34,21,23,29
42,0.0067936,977,1110,1096,1134,50.4,53.5,60.1,46.2,104,109,129,117,42,27,25,25
43,0.0059205,1166,1146,1107,987,44.1,52,59.1,40.2,88,112,121,116,38,20,18,18
44,0.0062485,1150,1033,1044,1037,37,36.8,51.5,55.1,100,109,117,119,33,13,16,16
45,0.01144,1125,959,1052,1051,25.1,32.3,43.5,55.1,90,109,109,119,33,20,22,16
46,0.010239,1097,973,1052,990,37.3,40.8,37.7,50.1,96,104,104,111,32,16,18,9
47,0.018243,1054,1033,1016,988,41.9,44.5,44.2,51.5,93,106,105,105,28,26,19,16
48,0.021973,1014,1080,996,1051,38.4,44.6,49.5,54.8,93,102,96,112,32,29,20,23
49,0.025932,1059,1084,999,1134,23.8,47.8,45.7,69.7,98,105,109,112,31,16,14,25
50,0.020896,1070,1064,960,1103,25.9,54,46.9,68.7,103,110,123,109,33,24,19,25
51,0.01857,1037,1071,944,1086,33.5,61.2,51.5,54.2,104,117,129,120,37,21,23,13
52,0.011739,970,1092,1065,1071,40.4,48.1,48,49.5,104,114,125,118,37,19,16,11
53,0.012828,999,1071,1080,1018,36.6,36.4,41.9,52.1,103,105,120,112,37,23,26,18
54,0.0098252,1063,1029,1001,956,35.3,43.9,40,29.7,100,112,113,113,37,21,23,21
55,0.0061971,1064,1066,1040,1014,40.5,36.9,46,38.5,101,119,117,114,38,20,23,25
56,0.0093165,1040,1088,1125,1073,45.4,27.8,52.1,53.5,104,109,129,117,39,21,21,18
57,0.013611,1079,1099,1184,1022,45.8,60.8,52.5,47.1,95,104,114,111,25,12,15,19
58,0.0077827,1151,1075,1054,1047,33.7,45.9,53.6,41.8,92,101,106,111,30,17,17,15
59,0.013244,1147,984,1031,1085,23.5,40,51.8,42.3,102,109,100,122,27,14,14,15
60,0.017617,1121,961,1034,1013,33.2,46.7,37.6,42.7,96,110,116,117,25,14,8,15
61,0.021444,1075,1025,1011,979,38.3,48.1,41.6,47.7,91,115,110,115,32,24,12,14
62,0.032256,1040,1075,1009,1014,37.4,45.9,51.6,50.7,98,117,104,123,39,19,13,10
63,0.038129,1079,1100,1032,1119,26.7,48.6,50.5,55.2,95,117,109,111,30,21,20,22
64,0.023971,1107,1101,994,1108,25,52.1,43.1,57.3,104,122,129,113,32,21,20,23
65,0.019105,1078,1108,960,1096,28.8,52.6,43.7,51.7,106,123,131,122,29,29,20,20
66,0.017997,1004,1077,1071,1110,39,46.5,48.9,46.8,109,120,128,125,32,27,19,19
67,0.01132,1024,1022,1101,1048,41.7,40.2,43.3,45.8,106,114,120,121,35,19,14,17
68,0.0073845,1093,1004,981,934,36,45.3,38.7,22.5,97,114,114,112,29,22,16,15
69,0.0074306,1103,1048,995,992,34.4,44.7,40.2,27.2,98,115,121,113,34,15,20,18
70,0.01203,1082,1064,1081,1050,37.1,37.3,41.6,42.1,99,118,124,118,34,12,18,15
71,0.029893,1007,1033,1202,1090,43.9,58.8,46.3,58.4,95,104,114,111,19,13,17,20
72,0.014502,1087,1115,1050,1058,33.2,50.6,50.3,44.5,92,101,106,111,27,15,15,17
73,0.019672,1117,1066,1007,1076,26.7,46.4,53,39.2,102,109,100,122,26,11,10,17
74,0.024614,1125,978,1011,1012,27.2,51,45.8,39.6,96,110,116,117,28,20,17,22
75,0.030257,1087,1026,999,976,32.6,50.8,44,44.3,91,115,110,115,26,17,10,13
76,0.026838,1060,1072,1012,992,35.2,47.6,49,49.5,98,117,104,123,27,13,11,12
77,0.027818,1102,1113,1085,1082,33.4,51.1,53.9,48.8,95,117,109,111,33,15,18,24
78,0.030756,1128,1120,1063,1080,29,53,48,48.4,104,122,129,113,38,12,16,24
79,0.0197,1119,1124,1016,1071,26.5,49.1,45,49.1,106,123,131,122,40,25,20,20
80,0.012928,1046,1073,1042,1116,33.5,49,47.8,46.8,109,120,128,125,41,21,16,20
81,0.01485,1052,1009,1078,1068,41,49,44.6,45.7,106,114,120,121,38,20,16,13
82,0.012737,1106,979,979,911,42.5,47.7,42.5,32.9,97,114,114,112,30,23,16,16
83,0.017153,1117,1025,963,958,35.1,51.9,43.3,27.1,98,115,121,113,24,18,17,21
84,0.017419,1103,1046,1024,1029,31.5,50.4,41.1,34.3,99,118,124,118,31,19,16,16
85,0.01549,1039,1092,1091,1095,33.2,48.2,47.8,58.5,95,105,114,108,21,19,14,19
86,0.0094359,982,1128,1093,1055,38.5,51.4,47.6,49,94,105,105,108,32,19,11,10
87,0.018154,1007,1136,1054,1039,44.7,44.1,42.1,45.5,105,108,109,115,31,9,13,11
88,0.024455,1062,1136,1015,973,36.9,43.8,57.5,46.8,92,114,121,109,29,15,23,18
89,0.044439,1081,1077,1002,949,25.6,45.7,61.1,43.2,87,120,113,114,22,18,13,23
90,0.019329,1086,1053,989,960,25.2,45.4,53.7,40.5,96,121,110,115,22,11,11,21
91,0.018677,1096,1089,1050,1065,37.9,48.7,39.8,49.4,88,110,108,107,40,13,16,16
92,0.031465,1097,1120,1086,1062,36.9,54.7,46.2,50.5,99,116,125,118,50,16,19,19
93,0.033663,1108,1114,1082,1051,27.7,55.1,48.7,50,114,118,124,125,45,17,17,14
94,0.019744,1066,1072,1017,1082,21.3,54,39,46.4,120,121,124,124,36,15,17,19
95,0.010111,1024,1035,1019,1071,30.9,62.1,38.3,39.4,114,119,122,130,28,19,19,14
96,0.013299,1040,1013,1047,952,44.2,56.7,48.4,48.9,105,119,119,130,24,14,17,21
97,0.01256,1078,1040,1025,972,42.1,50.1,53,56.1,108,117,120,121,22,19,15,17
98,0.008295,1089,1065,1012,1035,34.3,54.1,54.2,55.5,101,122,121,120,27,24,16,8
99,0.013464,1118,1126,1045,1040,36.6,49.8,55.1,59.9,95,105,114,108,20,21,17,23
100,0.0070102,1015,1120,1123,1066,39.8,55.8,56.6,43.8,94,105,105,108,31,21,17,18
101,0.014168,1028,1112,1104,1066,47.9,48.8,45,44.2,105,108,109,115,21,12,19,18
102,0.041366,1058,1142,1064,1016,42.6,47.1,59.8,59.8,92,114,121,109,23,19,27,19
103,0.037784,1068,1099,1032,991,30.7,51.3,67.9,52.1,87,120,113,114,21,19,24,21
104,0.019409,1089,1041,1012,1002,23.3,50.5,61.5,42.3,96,121,110,115,29,19,14,19
105,0.022545,1089,1021,1025,1084,34.2,47.2,38.1,45.8,88,110,108,107,43,17,15,21
106,0.029208,1080,1061,1049,1077,35.7,54.5,41.6,48.5,99,116,125,118,50,17,10,19
107,0.039295,1095,1089,1056,1052,31.5,60.2,45,48.4,114,118,124,125,38,17,19,17
108,0.028178,1084,1056,1033,1060,17.6,53.5,34.9,42.7,120,121,124,124,29,15,19,19
