Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,1.4591,1664,1367,1429,1404,153.8,107.8,72.5,67.9,181,282,263,275,95,70,57,45
2,3.9411,2098,1456,1486,1432,280.5,142.9,84,74.6,175,265,271,267,97,71,53,43
3,12.344,2523,2018,1818,1505,0,372.7,115.5,83.2,177,276,282,302,70,75,44,17
4,1.0138,1603,1350,1396,1374,135.7,89.8,60.2,66.2,185,268,263,278,90,70,57,55
5,2.9422,2045,1414,1439,1398,245.5,119.4,73.3,78.4,188,278,274,284,87,80,49,51
6,9.9843,2499,1948,1745,1470,0,327.4,101.5,84,177,286,290,311,71,83,60,27
7,0.54728,1523,1367,1392,1373,113.4,82.8,54.7,67.4,185,268,263,278,79,108,67,47
8,1.7676,1988,1423,1426,1397,205.6,109.5,64.8,83.1,188,278,274,284,61,90,67,52
9,6.9533,2486,1869,1629,1482,0,307.2,97.6,89.3,177,286,290,311,80,101,61,26
10,0.282,1397,1370,1399,1386,97.4,80.7,73.2,80.9,179,255,278,292,82,101,63,33
11,0.81349,1699,1435,1436,1393,166.2,100.5,75.2,87.3,189,263,277,309,54,73,70,51
12,3.561,2430,1663,1561,1476,0,319,100.2,91.9,184,275,284,314,95,99,60,31
13,1.1031,1706,1421,1489,1499,140.3,97.9,76.8,91.9,170,280,269,267,74,86,74,44
14,3.6715,2132,1467,1516,1506,209.4,129.9,85,105,167,301,279,260,97,86,69,49
15,9.5614,2511,1949,1841,1618,0,409.5,215,185.8,174,303,283,277,115,94,70,31
16,1.3273,1750,1514,1497,1485,153.2,117.9,79.7,90.7,170,280,269,267,95,89,71,52
17,4.8041,2182,1599,1552,1526,264,195.6,110.7,120.9,167,301,279,260,109,87,76,53
18,13.093,2593,2086,1998,1751,0,0,296.5,221.3,174,303,283,277,94,98,78,39
19,1.0439,1758,1574,1525,1474,170.6,138.6,87.9,101.2,181,288,293,298,102,89,72,57
20,3.5908,2186,1677,1579,1526,307.4,229.4,135,136.8,177,294,308,305,102,87,79,59
21,12.844,2606,2179,2077,1917,0,0,409.5,224.2,170,288,303,313,100,89,76,53
22,0.12842,1195,1364,1332,1386,57,79.1,51.1,56.8,151,250,241,224,105,60,31,31
23,0.56244,1360,1452,1406,1447,90,97.1,53.1,63.8,146,252,260,244,108,86,66,45
24,2.8251,2099,1969,1595,1675,211.1,173.1,89.3,70.1,158,256,248,258,100,92,50,51
25,0.17785,1158,1357,1333,1378,50.4,67.7,55.9,60.4,151,250,241,224,85,51,50,47
26,0.87157,1282,1432,1393,1436,77,88.5,57,69.7,146,252,260,244,95,72,54,29
27,4.7983,2034,1833,1515,1621,172.5,144.1,85.2,60.7,158,256,248,258,95,68,49,38
28,24.543,2298,2097,1866,1785,291.1,314.1,128,63.6,157,250,269,263,109,72,62,27
29,0.2152,1128,1317,1340,1366,48.5,56.1,55.7,58.5,169,252,239,237,75,58,65,45
30,0.80352,1223,1390,1396,1427,63.5,79.4,59.3,68.6,156,253,249,246,74,51,51,38
31,5.3227,1719,1632,1464,1568,150.7,120.7,77.5,54.2,158,255,254,251,100,69,60,42
32,35.956,2207,1970,1558,1698,234.5,209.8,107.8,57,157,255,272,287,108,88,72,27
33,0.38734,1054,1278,1326,1336,56,46.5,46.3,54.4,169,252,239,237,71,74,61,37
34,0.8123,1097,1321,1393,1397,56.9,74.2,55.2,61.8,156,253,249,246,79,74,42,37
35,4.2013,1555,1516,1449,1503,112.2,122.7,70,58.2,158,255,254,251,101,85,54,29
36,22.028,2031,1644,1503,1548,191.5,160.5,77.3,58,157,255,272,287,106,73,58,30
37,0.67269,1037,1332,1344,1329,57.4,49.7,46.3,62.2,172,252,260,264,82,85,74,43
38,0.97287,1057,1337,1397,1372,57.7,74.2,53.4,61.7,176,242,266,258,83,87,51,40
39,2.3317,1470,1441,1444,1468,102.2,125.2,72.7,62.5,169,246,284,265,89,79,61,34
40,10.137,1980,1551,1494,1519,173.4,156.3,78.1,63.8,168,267,284,296,109,78,56,44
