Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
1,0.34273,1516,1614,1507,1421,68,78.3,84.6,72.4,134,322,349,365,183,124,106,85
2,0.76235,1505,1664,1544,1508,72.3,99.3,97.6,89.8,144,314,349,347,120,113,99,89
3,1.6524,1516,1559,1550,1551,113.6,104.7,85.5,106.4,151,290,330,320,135,111,89,82
4,2.1816,1525,1544,1554,1572,108.9,90.4,79.3,93.3,147,260,306,328,129,109,91,78
5,2.1629,1498,1576,1536,1547,94.3,84.8,79.4,88.2,144,279,323,341,105,101,95,93
6,1.9103,1406,1570,1480,1513,91.4,83.4,84.1,89.4,144,312,341,354,96,100,94,74
7,1.7542,1387,1545,1485,1528,95.7,81.7,87.1,80.9,151,260,275,288,80,86,76,40
8,0.59031,1406,1450,1372,1352,87.8,58.5,58.2,102.4,128,252,268,281,172,105,101,62
9,0.64893,1525,1606,1502,1413,69.2,83.9,82.2,83.1,134,322,349,365,192,140,112,85
10,1.5476,1502,1661,1548,1503,67.3,104.7,94.7,94.6,144,314,349,347,139,111,98,82
11,3.0518,1486,1551,1495,1517,107.3,109.9,88.7,107,151,290,330,320,141,133,104,83
12,2.8102,1495,1509,1510,1543,110.7,96.4,83.5,97.7,147,260,306,328,137,124,109,78
13,2.4715,1482,1530,1509,1539,98.9,87.5,81.1,91.9,144,279,323,341,97,106,102,86
14,2.8808,1399,1559,1471,1502,88.3,81,82.8,81.6,144,312,341,354,91,104,92,71
15,2.5078,1363,1539,1473,1515,90.9,82.5,90.3,75.6,151,260,275,288,127,85,57,41
16,1.1196,1400,1529,1484,1472,78.7,67.3,72.9,117.5,124,173,195,212,127,53,27,24
17,1.303,1389,1432,1347,1314,99.6,59.1,58.2,99.3,128,271,295,301,153,119,98,65
18,1.6662,1520,1559,1499,1410,75.9,78.4,75.2,83.4,135,347,369,386,177,150,126,81
19,3.6166,1495,1618,1554,1489,67.6,92.5,85.7,88,146,336,360,383,136,110,106,77
20,4.7932,1466,1554,1453,1494,99.6,103.1,87.4,99,153,307,349,362,147,154,121,93
21,3.388,1470,1514,1478,1539,106.1,97.9,86.5,100.8,147,286,320,345,130,146,125,83
22,2.186,1462,1507,1505,1556,97.6,91.3,85.5,99.2,147,274,309,316,113,131,109,78
23,1.9673,1388,1551,1477,1487,82.4,85.2,83.4,80.6,153,283,318,323,113,109,99,74
24,1.652,1340,1541,1464,1486,82.5,87.6,92.8,76.3,150,239,255,272,133,69,54,51
25,1.378,1324,1430,1527,1479,79.9,60.7,70.6,69,124,173,195,212,137,57,40,34
26,2.3427,1342,1393,1405,1320,102,59.2,61.1,68.3,128,271,295,301,171,112,84,64
27,3.4517,1458,1469,1515,1483,89,67.6,64.8,70.8,135,347,369,386,172,144,133,113
28,5.5122,1440,1457,1533,1494,74.8,72.6,70.2,73.2,146,336,360,383,133,107,99,91
29,5.0327,1434,1528,1462,1380,82.4,97,89.1,93.5,153,307,349,362,152,146,119,99
30,2.9135,1437,1569,1431,1471,91.6,107.2,92.8,105.2,147,286,320,345,133,154,125,90
31,1.5229,1431,1559,1446,1563,94.3,106,90.6,105.9,147,274,309,316,123,122,99,75
32,0.98864,1394,1512,1512,1496,79.7,103,88.9,90.9,153,283,318,323,115,96,85,68
33,1.3113,1300,1360,1503,1524,70.4,56.6,69.2,58.7,120,182,210,221,135,47,48,29
34,2.4717,1331,1358,1420,1351,89,59.6,64.9,58.8,127,288,302,325,180,115,88,62
35,3.0621,1419,1469,1517,1510,91,69.1,63.7,65.8,142,363,396,412,185,134,131,127
36,3.1601,1411,1398,1507,1512,79.3,71.2,64.1,68,146,351,391,409,131,104,99,81
37,2.765,1440,1466,1494,1359,72.7,94.4,84.4,93.6,153,298,337,354,165,142,113,98
38,2.1085,1440,1553,1473,1401,82.6,104.1,90.2,102.4,158,295,323,335,152,137,113,92
39,1.3772,1429,1577,1447,1505,92.3,100.1,87,96.9,155,272,288,281,123,108,78,68
40,0.89397,1413,1498,1485,1516,85.4,96.6,85.7,90.9,157,260,279,299,121,94,66,57
