Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
361,1.4868,-1511,-1620,-1701,-38.3,77.1,112.4,83,89,109,95,-99,-97,-30
362,0.23479,738,723,988,73.5,87.5,209.1,160,112,133,122,53,49,-12
363,0.27604,224,202,2,8.8,22.1,67.6,134,170,195,200,7,-9,11
364,2.181,29,84,90,-1.1,12.2,34.2,135,175,202,205,-8,-31,-8
365,0.53077,81,111,352,6.1,11.4,19.3,156,179,199,193,-18,-37,-16
366,0.11087,-5,53,197,1.6,5.9,3.7,158,195,206,213,-32,-53,9
367,0.18813,-129,-99,-136,-5,-2.2,-4.6,164,199,209,207,-12,-18,-19
368,0.039286,15,40,-27,5.3,8.2,10.6,145,200,209,208,5,9,-25
369,0.0065727,143,182,119,15,18.9,28.2,148,202,199,206,-22,-45,2
370,0.0086675,80,138,76,12.5,16.6,16.2,170,196,205,212,-9,-30,-6
371,0.05644,63,103,75,10.1,10.4,10.3,173,198,215,207,-17,-17,-28
372,0.056338,90,99,131,10.7,8,20.1,156,194,207,205,-20,-4,-18
373,3.3366,-1464,-1424,-48,-37.9,29.7,46.9,61,96,114,95,-67,-80,-10
374,0.59856,279,342,-1234,149.2,157.8,220.8,131,84,105,94,36,3,2
375,0.21225,792,909,-343,35.7,54.3,138.6,144,143,154,157,53,37,12
376,2.1758,104,157,620,-2.7,11.4,46.6,128,193,219,209,-43,-43,-26
377,2.731,84,98,271,-0.3,9.8,17.2,154,165,192,186,-8,-20,-18
378,0.46032,132,139,315,1.2,8.7,7.6,159,189,206,205,-39,-32,-5
379,0.32237,-58,-51,-17,-11.5,-8.1,-13.9,170,203,202,211,-13,-36,-9
380,0.050281,-27,-16,-25,-9,-7.2,-15.6,157,205,206,205,-2,-7,-23
381,0.047429,123,129,124,1.7,5.1,-5.8,158,207,207,212,-30,-41,-16
382,0.37836,144,163,178,13.4,13.4,7.5,172,206,213,227,-18,-32,-16
383,0.10403,78,114,127,13.5,10.7,8.5,176,205,210,219,-2,-32,0
384,0.022608,61,112,107,13.8,9.9,13.5,162,187,213,209,-33,-54,21
385,8.7059,-137,-1182,32,-21.4,30.6,40.8,61,96,114,95,-32,-55,-12
386,2.6398,60,168,154,263.9,242.3,147.3,131,84,105,94,-17,-36,-18
