Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,0.90635,187,201,295,6.5,12.5,12.7,199,300,328,329,-14,-22,-20
2,1.2084,101,111,163,-8.3,-2,-6.7,213,309,335,327,-22,-36,-18
3,1.2244,-11,2,-48,-20.8,-15,-19.3,218,305,346,332,-10,-24,-18
4,1.2485,-251,-288,-453,-28.7,-27.7,-29,214,315,324,335,-26,-32,-26
5,0.77699,163,169,311,5.3,8.6,10.2,201,378,393,408,-8,-8,-38
6,1.5399,108,105,156,1.4,3.4,8.8,213,353,383,394,-10,-22,-22
7,2.1451,15,3,-44,-7.8,-4.6,4.6,228,352,400,387,-6,-14,-28
8,1.794,-216,-225,-488,-32.6,-30.1,-24,228,375,383,383,-26,-34,-36
9,0.63283,116,141,231,2.9,4.6,7.5,201,378,393,408,-26,-50,0
10,2.2821,57,72,85,-0.6,-1.8,9.4,213,353,383,394,-19,-40,-4
11,3.3136,-16,-21,-74,-5.3,-5.5,11.7,228,352,400,387,-15,-41,0
12,2.4341,-220,-212,-426,-27.9,-26.3,-19.3,228,375,383,383,-15,-43,-8
13,0.25312,204,197,254,16.4,25.5,23.5,208,367,400,409,-30,-47,-11
14,0.75014,98,127,168,5.5,8.2,11.6,198,429,429,433,-28,-44,0
15,1.9529,14,35,17,-1.8,-2.3,10.1,207,381,395,408,-38,-44,-12
16,2.7688,-49,-51,-101,-7.8,-8.4,11.9,212,363,407,393,-25,-49,-7
17,4.401,-217,-202,-325,-24.1,-21.4,-15,209,394,397,393,-11,-50,-13
18,0.41284,269,254,257,10.4,27.4,6.8,208,367,400,409,-36,-48,-19
19,1.0738,137,148,172,7.8,20.8,20.2,198,429,429,433,-12,-12,-21
20,1.9413,20,31,35,3.3,9.4,18.2,207,381,395,408,-38,-44,-12
21,3.4618,-53,-43,-54,-6,-3,7.1,212,363,407,393,-20,-27,-34
22,6.1616,-208,-189,-124,-33.7,-25.9,-22.1,209,394,397,393,-8,-39,-25
23,0.4965,264,232,203,10,29.2,2.9,197,371,421,417,-58,-73,-22
24,1.4166,155,164,168,4,17,16.1,210,448,465,457,11,-6,-19
25,2.4875,41,60,59,4.2,9.9,16.8,216,436,433,442,-10,-30,-8
26,5.2513,-28,-1,4,-1.2,0.7,5.7,205,382,399,391,-21,-24,-33
27,5.8187,-200,-171,-68,-37.5,-31.5,-30.4,204,403,393,407,-13,-22,-33
28,0.40923,232,199,137,14.1,29.7,5.8,197,371,421,417,-59,-76,-19
29,1.402,160,178,133,2,10.9,10.3,210,448,465,457,-10,-18,-29
30,2.9881,69,98,82,1.2,5.5,9.5,216,436,433,442,-23,-50,-1
31,7.8877,3,41,55,0.099998,0.6,2.6,205,382,399,391,-33,-55,-10
32,4.6053,-196,-159,-66,-32.8,-30.3,-31.7,204,403,393,407,-18,-35,-18
33,0.41539,173,145,93,10.4,17.4,17,198,363,380,379,-56,-66,-15
34,1.474,158,176,66,8.2,12.4,10.1,212,452,472,463,-20,-22,-27
35,3.6194,120,147,97,-4.1,2.1,-4,214,444,435,442,-25,-35,-16
36,5.264,52,70,89,-11.2,-4.4,-8.9,203,403,369,379,-21,-36,-15
37,4.748,-216,-215,-139,-18.8,-19.2,-15.4,218,412,377,396,-11,-26,-15
38,0.45315,176,139,129,5.7,10.4,25.6,198,363,380,379,-58,-76,-12
