Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,1.5646,60,48,44,-1.7,-1.8,-2.2,91,195,202,229,-17,-27,11
2,14.035,62,50,37,-2.4,-3.8,-1,99,181,200,259,12,5,4
3,0.37012,89,79,74,-5.5,-4.2,-0.8,99,133,193,242,0,-10,6
4,0.073218,94,84,85,-4.2,-1.4,0,107,121,114,178,4,-1,-16
5,0.0063326,94,72,74,0.1,2.5,1.8,105,86,78,77,8,8,-20
6,0.0021927,71,50,39,4.1,3.6,4.2,111,68,87,32,13,20,-3
7,0.044133,55,44,25,0.9,1,2.4,107,76,123,75,-4,-7,-3
8,0.034342,34,35,14,-2.3,-0.9,0.6,114,65,84,88,1,-2,-5
9,0.010625,18,16,13,-0.6,-1.6,2.1,123,81,85,83,13,-8,-2
10,0.043217,15,6,23,0.7,-2.1,3.4,115,78,82,80,11,-8,8
11,0.093173,21,11,30,1.6,1.7,4.1,121,53,52,69,0,-20,6
12,0.079489,39,29,34,3.2,3.2,4.8,128,66,116,123,9,8,-9
13,0.029496,63,51,40,4.3,1.6,4.1,116,57,78,85,2,4,-10
14,0.019067,52,59,24,2.6,-1.3,1.2,135,35,71,59,12,0,-3
15,0.05401,29,20,33,-5.2,-6.6,-4.8,91,195,202,229,-10,-10,5
16,0.1915,25,19,18,-4.8,-6.9,-4.2,99,181,200,259,10,0,-3
17,0.25257,58,57,45,-5.3,-5.4,-2.1,99,133,193,242,0,-8,2
18,0.037266,75,75,77,-4.4,-3.1,-0.099998,107,121,114,178,15,-1,-4
19,0.0051817,78,78,84,-1.8,0,1.7,105,86,78,77,5,-5,-4
20,0.002367,53,41,40,2.1,3.6,3.2,111,68,87,32,-2,-3,7
21,0.01011,58,45,37,1.5,1.9,1.8,107,76,123,75,-7,-7,5
22,0.028898,54,48,34,0.5,0,0.8,114,65,84,88,-3,-1,-3
23,0.016981,23,2,7,0.9,-0.4,1.9,123,81,85,83,6,-6,4
24,0.012673,21,-12,4,1.9,-1.6,2.2,115,78,82,80,18,5,9
25,0.070799,35,22,15,2.7,-1,2.4,121,53,52,69,7,0,-10
26,0.11038,20,24,6,2.3,0.3,2.7,128,66,116,123,3,5,-25
27,0.035298,8,9,-5,2.1,0.7,2.6,116,57,78,85,15,-1,8
28,0.03005,15,4,-9,3.2,-1.4,-0.2,135,35,71,59,13,1,20
29,0.010624,40,29,37,-4.5,-6.8,-4.6,95,129,132,130,-5,-4,-9
30,0.0089358,39,34,33,-4.5,-6.5,-3.8,98,132,121,138,-7,-2,6
31,0.015918,62,56,42,-5.8,-5.3,-2.5,92,105,132,122,-6,-5,11
32,0.0070892,83,68,61,-3.8,-3.6,-0.8,100,124,129,134,-9,-4,-6
33,0.0046185,80,65,73,0.3,-0.6,1.6,106,128,126,162,-14,-13,-3
34,0.0076872,36,35,42,1.7,1.4,2.7,113,134,147,147,-11,-13,3
35,0.0095972,45,36,35,0.3,0.6,1.4,111,133,176,128,1,-5,13
36,0.54953,52,42,40,0.3,-0.1,0.7,117,113,147,127,-8,-1,-3
37,0.2739,24,10,17,2.2,-0.9,1.6,119,108,129,126,4,2,0
38,0.012208,18,-6,5,2.9,-1.4,2.2,117,123,110,132,12,6,-4
39,0.051844,31,19,-1,2.7,-2,1.7,118,110,88,135,6,-1,-8
40,0.12536,16,24,-9,1.4,-1.7,1.1,129,83,74,99,12,1,-10
41,0.03285,-4,6,-21,0.7,-0.6,1.2,109,38,81,46,8,-2,13
42,0.14533,-2,-19,-31,1.3,-0.3,0.3,123,43,90,126,0,-5,44
43,0.043267,47,41,51,-1.3,-2.7,4,95,129,132,130,-3,-5,-9
44,0.0058863,65,60,63,0.5,-2.2,3.5,98,132,121,138,-9,-2,5
45,0.0099604,57,27,37,-4.6,-3.7,0.5,92,105,132,122,-4,0,0
46,0.0096249,59,8,22,-5,-3.7,0.2,100,124,129,134,-20,1,-11
47,0.77966,59,13,19,-2.3,-3.8,1,106,128,126,162,-12,-9,5
48,0.076759,33,40,28,-0.9,-5.2,0.2,113,134,147,147,3,-10,10
49,0.013979,23,33,23,-2.2,-3.8,0.7,111,133,176,128,14,1,8
50,0.022459,24,18,19,-2.3,-1.7,1.7,117,113,147,127,-15,-12,-6
51,0.09474,40,21,26,3.3,0.8,4.9,119,108,129,126,4,6,-26
52,0.012872,41,19,18,4.5,1.5,5.1,117,123,110,132,0,-5,-8
53,0.066519,23,10,-19,3.1,1.6,4.2,118,110,88,135,2,5,8
54,0.23387,22,17,-19,1.6,-0.2,3.2,129,83,74,99,0,9,0
55,0.015416,28,27,-7,1.4,-0.2,2.6,109,38,81,46,7,-30,22
56,0.073892,30,14,10,2.9,3.4,2.9,123,43,90,126,-9,-21,31
57,0.10699,26,20,43,-1.4,-1.4,5.8,96,104,133,130,-6,-1,-5
58,0.16805,34,40,48,1.9,-1.1,6.2,98,107,136,124,3,-7,11
59,0.017868,31,14,22,-1.2,-2.9,2.9,93,113,135,115,5,-3,8
60,0.21741,28,-11,4,-3.3,-3.1,2,103,121,143,130,-17,-5,9
61,0.49377,31,-4,1,-3.5,-3.6,2,113,134,145,153,-13,-3,18
62,0.092157,39,46,20,-2.8,-5.4,0,110,131,135,148,4,8,0
63,0.018409,32,40,22,-3.1,-5.2,-0.2,116,110,146,137,18,21,-8
64,0.011837,25,23,18,-1.9,-2.5,2.2,116,139,164,148,-15,-12,-5
65,0.027604,48,23,25,4.1,1.8,6.4,113,132,152,151,11,6,-3
66,0.0062656,61,35,31,5.5,3.1,6.4,117,135,133,157,13,6,10
67,0.051384,38,18,-2,4.1,3.6,4.8,117,129,132,164,6,-2,4
