Ind#,TDose,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pos1,T2w Pos2,T2w Pos3
1,0.46494,47,37,11,1.7,1.1,3.1,108,68,78,57,6,-1,-4
2,0.080177,36,36,0,-1.3,-0.9,1.4,126,89,75,67,4,-7,8
3,0.031787,27,45,5,-0.4,-3.6,4.1,126,87,89,75,7,1,-3
4,0.0046375,27,35,15,0.8,-3,5,126,116,38,89,-5,-16,12
5,0.021224,34,37,28,1.9,-0.6,3.1,123,116,143,136,-11,-16,11
6,0.020601,39,51,26,2.6,-0.6,2.7,129,35,31,27,-35,-24,3
7,0.0062242,46,57,19,2.7,-0.6,3.5,129,65,22,46,12,-18,10
8,0.0025346,41,36,18,-0.1,-0.6,1.7,129,24,38,16,6,-28,12
9,0.037392,26,21,6,-0.9,-0.9,-0.8,142,33,30,9,5,16,-35
10,0.10251,19,20,0,-0.9,-0.9,-2.8,140,38,42,21,37,12,-14
11,0.027806,64,78,58,-4.6,-5,-5.1,139,29,29,28,-4,25,-40
12,0.02989,49,41,23,0.9,0.6,2.4,108,68,78,57,-7,-5,2
13,0.019253,36,39,11,-1.7,-1.1,0.6,126,89,75,67,23,20,2
14,0.00051898,22,40,24,-0.9,-3.1,2.2,126,87,89,75,15,12,-19
15,0.0016734,18,28,32,0.3,-3.2,3.7,126,116,38,89,4,6,-13
16,0.0094864,24,20,35,1.4,0.8,3.9,123,116,143,136,-15,-10,3
17,0.029537,40,37,32,3.2,1.9,3.9,129,35,31,27,-14,-6,-18
18,0.019022,61,59,29,3.2,0,3.4,129,65,22,46,27,-5,12
19,0.0066516,47,51,16,0.1,-1.3,1.5,129,24,38,16,15,-24,28
20,0.015971,11,22,-3,-1.7,-0.2,-0.3,142,33,30,9,-7,0,13
21,0.049884,-5,8,-10,-2.4,-0.3,-2.7,140,38,42,21,-1,-24,5
22,0.0073659,20,48,38,-8.1,-6.3,-7.7,139,29,29,28,1,-10,2
23,0.0048987,55,44,25,0.9,1,2.4,113,84,100,102,-12,-16,1
24,0.019692,34,35,14,-2.3,-0.9,0.6,121,101,118,98,18,20,-7
25,0.0035857,18,16,13,-0.6,-1.6,2.1,119,100,119,114,16,16,3
26,0.00715,15,6,23,0.7,-2.1,3.4,118,104,61,111,5,15,-11
27,0.042677,21,11,30,1.6,1.7,4.1,125,142,124,114,8,5,-5
28,0.013262,39,29,34,3.2,3.2,4.8,120,57,76,79,27,18,-17
29,0.017316,63,51,40,4.3,1.6,4.1,123,35,35,71,26,5,13
30,0.0081569,52,59,24,2.6,-1.3,1.2,125,12,22,68,28,0,25
31,0.0096919,4,22,-7,1,1.2,0.8,124,14,30,24,0,-30,37
32,0.011346,-41,-22,-30,-0.3,2,-0.2,131,39,40,22,-31,-28,35
33,0.010969,-49,-26,-31,-8,-5.8,-7.2,125,35,37,24,10,-3,28
34,0.085497,58,45,37,1.5,1.9,1.8,113,84,100,102,-10,-16,0
35,0.015125,54,48,34,0.5,0,0.8,121,101,118,98,1,-15,2
36,0.017242,23,2,7,0.9,-0.4,1.9,119,100,119,114,-6,3,9
37,0.019608,21,-12,4,1.9,-1.6,2.2,118,104,61,111,-16,-9,1
38,0.0046568,35,22,15,2.7,-1,2.4,125,142,124,114,2,-1,-3
39,0.0026733,20,24,6,2.3,0.3,2.7,120,57,76,79,5,2,2
40,0.024715,8,9,-5,2.1,0.7,2.6,123,35,35,71,8,-4,1
41,0.027187,15,4,-9,3.2,-1.4,-0.2,125,12,22,68,18,14,-6
42,0.015983,15,17,-2,2.5,-0.4,-1.3,124,14,30,24,2,-3,12
43,0.0089992,-3,9,-2,0.6,0.6,-1.9,131,39,40,22,-14,-4,58
44,0.014948,-26,-33,-23,-4.2,-1.9,-2.6,125,35,37,24,-29,-13,23
45,0.060801,45,36,35,0.3,0.6,1.4,106,133,146,163,-7,-12,11
46,0.032645,52,42,40,0.3,-0.1,0.7,110,125,146,140,-4,-10,6
47,0.031855,24,10,17,2.2,-0.9,1.6,116,121,135,133,-14,-7,8
48,0.0048794,18,-6,5,2.9,-1.4,2.2,118,116,121,134,-6,-6,9
49,0.010388,31,19,-1,2.7,-2,1.7,127,134,102,102,-2,12,-9
50,0.052333,16,24,-9,1.4,-1.7,1.1,115,109,82,106,-5,7,7
51,0.12681,-4,6,-21,0.7,-0.6,1.2,123,110,81,127,11,-20,8
52,0.021683,-2,-19,-31,1.3,-0.3,0.3,127,71,81,117,1,1,4
53,0.016662,11,3,-15,0.3,-1.4,-1.7,119,26,43,60,1,-4,6
54,0.072135,12,24,8,-1.7,-2.1,-3.1,127,11,45,21,-25,-13,18
55,0.079365,-9,-13,0,-3.7,-1.4,-2.5,124,17,50,27,-15,-7,2
56,0.012869,23,33,23,-2.2,-3.8,0.7,106,133,146,163,3,0,8
57,0.0018979,24,18,19,-2.3,-1.7,1.7,110,125,146,140,-8,-2,-8
58,0.0032567,40,21,26,3.3,0.8,4.9,116,121,135,133,5,2,10
59,0.0022737,41,19,18,4.5,1.5,5.1,118,116,121,134,10,13,3
60,0.0094159,23,10,-19,3.1,1.6,4.2,127,134,102,102,14,30,-8
61,0.010184,22,17,-19,1.6,-0.2,3.2,115,109,82,106,0,17,2
62,0.010262,28,27,-7,1.4,-0.2,2.6,123,110,81,127,0,-15,1
63,0.015944,30,14,10,2.9,3.4,2.9,127,71,81,117,-9,-11,10
64,0.096473,25,12,9,2.3,2.5,3.3,119,26,43,60,5,17,-1
65,0.28557,23,28,16,0.7,0.3,2.4,127,11,45,21,-30,3,-4
66,0.036809,-15,-10,-9,-1.3,-0.7,-0.8,124,17,50,27,27,9,21
67,0.010084,32,40,22,-3.1,-5.2,-0.2,108,142,155,158,10,1,-1
68,0.00023308,25,23,18,-1.9,-2.5,2.2,121,138,149,144,-5,-5,-6
