 ,Ind#,TDose,T1 Pre,T1 Pos1,T1 Pos1,T1 Pos3,T2 Pre,T2 Pos1,T2 Pos2,T2 Pos3,V Pre,DCE 1,DCE 2,DCE 3,T2w Pre,T2w Pos1,T2w Pos2,T2w Pos3
141,7.7064e+25,646,635,357,272,228.2,122.6,51.7,102.1,58,54,30,66,0,6,0,1
142,1.9987e+15,587,255,539,246,273.2,94.8,52.4,302.2,43,61,30,62,2,0,0,0
143,1.81e+36,228,220,461,480,153.1,52.4,213.6,409.5,46,23,18,39,0,2,6,0
144,Inf,365,248,463,317,149.2,75,231.2,297.7,19,17,17,21,8,6,4,0
145,Inf,283,276,377,382,179.3,138.9,119.1,73.6,42,11,15,8,6,4,2,1
146,1.1713e+28,415,388,525,481,114,256.9,139.5,224.1,27,5,11,6,8,8,4,1
147,9.1682e+24,1132,411,498,417,67.3,72.7,151.3,391.2,39,21,8,18,4,10,4,0
148,Inf,1228,410,365,333,64.5,57.3,182.5,204.1,32,23,62,21,10,6,2,0
149,4.6199e+15,1751,421,170,278,90.1,145.4,107.9,120.5,66,30,37,37,16,8,0,3
150,6.1981e+06,1271,270,252,587,96.4,66.4,99.8,74.1,29,19,30,26,7,4,6,3
151,Inf,545,203,293,695,97.8,58.2,71.9,49,45,19,30,30,8,2,8,5
152,Inf,449,215,369,697,92.9,87.7,80,92.1,104,42,27,36,2,2,2,1
153,1.7513e+27,202,233,455,273,83.8,95.5,108.5,83.3,30,46,21,30,35,4,0,3
154,9.7648e+21,147,407,547,367,63.8,25.3,115.1,90.8,31,55,49,26,68,10,2,1
155,1.7879e+08,517,666,272,260,173.7,129.8,86,74.9,40,34,23,26,13,3,1,0
156,6.1377e+23,766,502,297,249,219.3,181.3,62.5,74.3,21,25,7,27,10,1,11,0
157,1.9373e+34,269,192,350,452,165,62,94,282.3,23,25,12,22,4,0,5,1
158,Inf,250,189,352,470,114.5,61,164.4,381.9,34,6,22,6,14,3,9,0
159,Inf,304,211,363,282,121.1,108.6,370.6,221.7,50,10,22,17,10,9,9,0
160,35.853,572,490,487,372,126.3,409.5,75.4,267.6,90,21,24,20,4,11,3,5
161,2.6774e+09,942,640,511,321,89.1,180.5,63.8,409.5,101,16,10,11,2,7,9,9
